,GlaThiDa_ID,POLITICAL_UNIT,GLACIER_NAME,GLACIER_DB,GLACIER_ID,LAT,LON,SURVEY_DATE,ELEVATION_DATE,AREA,MEAN_SLOPE,MEAN_THICKNESS,MEAN_THICKNESS_UNCERTAINTY,MAXIMUM_THICKNESS,MAX_THICKNESS_UNCERTAINTY,SURVEY_METHOD,SURVEY_METHOD_DETAILS,NUMBER_OF_SURVEY_POINTS,NUMBER_OF_SURVEY_PROFILES,TOTAL_LENGTH_OF_SURVEY_PROFILES,INTERPOLATION_METHOD,INVESTIGATOR,SPONSORING_AGENCY,REFERENCES,DATA_FLAG,REMARKS,RGIId,RGI Centroid Distance
345,1957,AT,GEFRORENE WAND,OTH,9810,47.0654,11.6636,19989999.0,19999999.0,3.818,,34.0,2.0,124.0,3.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",89.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00311,0.0 km
346,1958,AT,GEPATSCHFERNER,OTH,7022,46.8458,10.7487,20019999.0,19979999.0,17.16,,94.0,5.0,221.0,7.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",371.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00746,0.7207834163274848 km
347,1959,AT,GRIESSKOGELFERNER,OTH,2009,47.1043,11.0298,20089999.0,19979999.0,0.429,,20.0,6.0,55.0,12.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",1.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00254,0.08151541807590763 km
348,1960,AT,GRINNERFERNER,OTH,1306,47.1715,10.4793,19969999.0,19969999.0,0.069,,11.0,8.0,32.0,8.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",22.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00112,0.0 km
349,1961,AT,GROSSER RIEPENKEES,OTH,9097,47.0533,11.675,19989999.0,19999999.0,0.989,,25.0,2.0,76.0,3.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",34.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00353,0.1487124567773879 km
350,1962,AT,GURGLERFERNER,OTH,2074,46.790188,10.981328,19989999.0,19979999.0,9.379,,59.0,15.0,201.0,16.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",100.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00887,0.6409358889703544 km
351,1963,AT,HALLSTAETTER GLETSCHER,OTH,1100,47.482451,13.613189,20099999.0,20029999.0,3.041,,55.0,4.0,131.0,10.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",104.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00002,0.2290110217749909 km
352,1964,AT,HINTEREISFERNER,OTH,2125,46.8,10.77,20019999.0,19979999.0,8.55,,67.0,7.0,242.0,13.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns",145.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00897,0.8861616530636413 km
353,1965,AT,HOCHALMKEES,OTH,2101,47.02,13.33,20019999.0,19989999.0,2.907,,53.0,6.0,155.0,8.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",130.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00303,0.2891190134798927 km
354,1966,IT,HOCHJOCHFERNER,OTH,2121,46.7758,10.8059,19979999.0,19979999.0,6.829,,36.0,6.0,100.0,6.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",105.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,"Coordinate is on HJF I, but all three parts are meant.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II",RGI60-11.00957,0.47953873711152883 km
355,1967,AT,HORNKEES,OTH,9075,46.9968,11.818074,19999999.0,19999999.0,2.665,,28.0,2.0,111.0,2.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",85.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00459,0.14895093918177002 km
356,1968,AT,JAMTALFERNER,OTH,1301,46.857891,10.158311,20059999.0,20029999.0,3.712,,52.0,6.0,119.0,12.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",61.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00781,0.1531552754892875 km
357,1969,AT,KARLESFERNER,OTH,1400,46.93,10.92,20019999.0,19979999.0,1.457,,26.0,3.0,70.0,7.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",23.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00663,0.3396869608150212 km
358,1970,AT,KESSELWANDFERNER,OTH,2129,46.8383,10.7933,19959999.0,19979999.0,4.052,,79.0,11.0,155.0,11.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",213.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00787,0.49707014206517103 km
359,1971,AT,LANGTALER FERNER,OTH,2072,46.7933,11.0167,20059999.0,19979999.0,2.894,,56.0,3.0,147.0,12.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",69.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00948,1.0336356844400487 km
360,1972,AT,LISENSER FERNER,OTH,1002,47.0867,11.1283,20009999.0,19979999.0,3.105,,58.0,13.0,131.0,15.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",36.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II. Name is also LUESENER FERNER,RGI60-11.00295,0.8153613376059962 km
361,1973,AT,LISENSER FERNER BERGLAS,OTH,3060,47.075115,11.115334,20009999.0,19979999.0,0.395,,79.0,21.0,131.0,23.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",4.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II. Name is also LUESENER FERNER (BERGLAS).,RGI60-11.00349,0.5375024882264461 km
362,1974,AT,MARZELLFERNER,OTH,2110,46.779794,10.883272,20029999.0,19979999.0,4.885,,52.0,15.0,187.0,20.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",40.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00958,0.8885668141592736 km
363,1975,AT,MITTELBERGFERNER,OTH,1400,46.9189,10.897,19989999.0,19979999.0,9.916,,53.0,11.0,188.0,13.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",123.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00686,1.2043376548563458 km
364,1977,AT,NIEDERJOCHFERNER,OTH,2111,46.7687,10.87,20029999.0,19979999.0,2.204,,31.0,3.0,98.0,7.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",38.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00992,0.1989080581372233 km
365,1978,AT,NILLKEES,OTH,6058,47.051419,12.410932,20069999.0,19989999.0,0.159,,22.0,6.0,42.0,13.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",25.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00319,0.09120671574224282 km
366,1979,AT,OBERSULZBACHKEES,OTH,5129,47.1082,12.2919,20019999.0,19989999.0,11.01,,40.0,10.0,208.0,13.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",129.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00141,1.2372815714673575 km
367,1980,AT,OCHSENTALER GLETSCHER,OTH,1200,46.855,10.105,20009999.0,20029999.0,2.523,,44.0,8.0,163.0,13.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",38.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00797,0.3902819554620738 km
368,1981,AT,OEDENWINKELKEES,OTH,5094,47.1095,12.6453,19989999.0,19989999.0,2.062,,50.0,6.0,167.0,6.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",99.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00124,0.4194041794471933 km
369,1982,AT,OESTLICHER WANNETFERNER,OTH,7020,46.882036,10.785139,20109999.0,19979999.0,0.571,,28.0,1.0,85.0,13.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",11.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00732,0.0819970460445515 km
370,1983,AT,PASTERZE,OTH,4027,47.1,12.7,19989999.0,19989999.0,18.38,,82.0,23.0,311.0,6.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",178.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00106,0.26976006097366245 km
371,1984,AT,RAINERKEES,OTH,6053,47.093,12.357,20039999.0,19989999.0,3.511,,43.0,3.0,78.0,11.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",66.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00161,0.27144332197955995 km
372,1985,AT,RETTENBACHFERNER,OTH,2150,46.93,10.93,20079999.0,19979999.0,1.604,,30.0,3.0,62.0,8.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",81.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier Inventory II,RGI60-11.00648,0.3136731607671667 km
373,1986,AT,ROTMOOSFERNER,OTH,2063,46.8192,11.0474,20069999.0,19979999.0,2.878,,32.0,5.0,104.0,8.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",43.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier inventory II,RGI60-11.00871,0.6003517198860445 km
374,1987,AT,SCHALFFERNER,OTH,2107,46.78,10.93,20029999.0,19979999.0,7.656,,50.0,11.0,117.0,17.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",85.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,Coordinate from FoG 2015INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier inventory II,RGI60-11.00945,1.146420045540664 km
375,1988,AT,SCHAUFELFERNER,OTH,3035,46.98,11.12,19979999.0,19979999.0,1.419,,26.0,5.0,94.0,5.0,GPRt,"Narod GPR, 4.0 and 6.5MHz, wave velocity in ice: 0.168m/ns, wave velocity in air: 0.3m/ns, antenna length 15/25m. Narod and Clarke (1994)",115.0,,,OTH,Andrea FISCHER et al.,,"Fischer, Andrea; Span, Norbert; Kuhn, Michael; Helfricht, Kay; Stocker-Waldhuber, Martin; Seiser, Bernd; Massimo, Marius; Butschek, Michael (2015): Ground-penetrating radar (GPR) point measurements of ice thickness in Austria. Institute for Interdisciplinary Mountain Research of the Austrian Academy of Sciences, doi:10.1594/PANGAEA.849497",,New coordinate introduced.INTERPOLATION_METHOD: Manual/topo2raster(ArcGIS); Outlines/DEM from Austrian Glacier inventory II,RGI60-11.00592,0.6591735604154076 km
